iter	Passed	Remaining
0	1	106
1	1	88
2	2	83
3	3	76
4	4	76
5	4	74
6	5	77
7	6	77
8	8	81
9	9	82
10	10	83
11	11	83
12	12	82
13	13	81
14	14	80
15	15	79
16	15	77
17	16	76
18	17	75
19	18	74
20	19	73
21	20	72
22	21	72
23	23	74
24	24	73
25	25	73
26	26	72
27	27	71
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	32	63
34	33	63
35	34	61
36	35	60
37	36	59
38	38	59
39	39	59
40	40	58
41	41	56
42	42	55
43	43	54
44	43	53
45	44	52
46	46	51
47	47	51
48	48	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	45
54	53	43
55	54	43
56	55	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	74	24
75	75	23
76	76	22
77	77	21
78	77	20
79	78	19
80	79	18
81	80	17
82	82	16
83	83	15
84	84	14
85	85	13
86	87	13
87	88	12
88	89	11
89	91	10
90	92	9
91	93	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	101	0
